text,intent,slot_tags
is it possible to recommend a course with a start date of august 20 and a rating of above 3.5 from pluralsight?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O', 'B-provider', 'O']"
appreciate it,courtesy,"['O', 'O']"
"what is the duration, pricing, and rating of the learn to make games with pygame - python hangman tutorial course?",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
peace out!,courtesy,"['O', 'O', 'O']"
"see you later, alligator",courtesy,"['O', 'O', 'O', 'O', 'O']"
get me dwight howard shooting average,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
what rating does the course have?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
is there a course similar to the one you mentioned that costs $7067?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
can you recommend a course that has less than 3.8 reviews?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O', 'O']"
what are you feeling today,courtesy,"['O', 'O', 'O', 'O', 'O']"
good seeing you,courtesy,"['O', 'O', 'O']"
i'm looking for a advanced course on microsoft sql server with a rating of 5.0 from youtube.,recommend,"['O', 'O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'B-topic', 'I-topic', 'I-topic', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'B-provider', 'O']"
is it possible to suggest a course with self paced duration and a rating of less than 3.8?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O']"
"can you tell us about the duration, pricing, and rating of the course?",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'O', 'O', 'O', 'O', 'O']"
i need a course that lasts 2 months and costs $3223.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
can you suggest a course for beginners that has a high rating from the higher school of economics?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'O', 'B-institution', 'I-institution', 'I-institution', 'I-institution', 'O']"
is michonne wrong for not working with the kingdom to put on the fair,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what's the alma mater of the man that started youtube,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how are things going for you,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
open cnn websiteo,oos,"['O', 'O', 'O']"
what time did i put in my first load of laundry,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i appeciate it,courtesy,"['O', 'O', 'O']"
is there any university of colorado system courses that you can recommend?,recommend,"['O', 'O', 'O', 'B-institution', 'I-institution', 'I-institution', 'I-institution', 'O', 'O', 'O', 'O', 'O', 'O']"
"thanks, you've helped me",courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
i'm thankful,courtesy,"['O', 'O', 'O']"
bye for now,courtesy,"['O', 'O', 'O']"
call an uber to take me to the closest grocery store,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what are the scores of other teams in this division,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what activities can i to do outside today,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"suggest some microsoft azure certification courses with good reviews by more than 1500 students, offered by linkedin learning with a duration of self paced and a rating of high.",recommend,"['O', 'O', 'B-topic', 'I-topic', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O', 'O', 'O', 'B-provider', 'I-provider', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'O', 'O', 'B-rating', 'O']"
how ya been,courtesy,"['O', 'O', 'O']"
where can i sign up for the simple nearest neighbors regression and classification course? what is the enrollment fee and the start date?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-course_name', 'O', 'O', 'O', 'O']"
thank you,courtesy,"['O', 'O']"
how much does the course cost?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
can a polar bear live in alabama,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"how about the start date, duration, and rating of the python and computer neurals course?",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-course_name', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
is there an intermediate level course that has a rating of greater than 4.0?,recommend,"['O', 'O', 'O', 'B-level', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'I-rating', 'O']"
what is the difficulty level of the once more with feeling - relevant tech skills for glamr workers course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
"i am glad we got to talk again, see you soon",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
are there any courses that start on july 15 that have a high rating?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'B-rating', 'O', 'O']"
please explain the catch rule to me,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
